네이밍,Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10,Board11,Board12,Board13,Board14,Board15,Board16,Board17,Board18,Board19,Board20,Board21,Board22,Board23,Board24,Board25,Board26,Board27,Board28
오브젝트사이즈,0,2,3,6,8,3,5,10,6,13,23,0,2,2,3,12,1,5,11,17,29,22,2,4,2,2,21,28
오브젝트정보사이즈,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
오브젝트종류,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,1,4,4,4,1,0,0
오브젝트방향,,상,좌,하,우,하,상,좌,상,상,상,,상,좌,하,하,상,상,우,상,하,우,하,상,상,우,상,상
오브젝트_X좌표,,4,6,6,3,3,5,6,2,3,2,,6,6,4,3,4,7,3,9,2,0,4,2,8,4,1,1
오브젝트_Y좌표,,4,6,6,5,8,3,6,4,3,4,,2,6,5,6,3,3,7,3,10,3,5,3,5,1,4,2
오브젝트_층,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
오브젝트종류,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,,0,0,0,1,1,2,0,2,0,0,0
오브젝트방향,,하,하,상,우,상,좌,상,좌,상,우,,하,상,좌,하,,상,하,좌,하,우,하,상,하,좌,상,상
오브젝트_X좌표,,5,5,5,3,7,6,4,2,4,2,,8,6,6,3,,7,5,8,3,2,5,6,6,6,1,2
오브젝트_Y좌표,,5,5,5,4,1,3,5,5,3,5,,6,4,5,5,,4,7,4,10,2,4,3,4,1,5,2
오브젝트_층,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
오브젝트종류,,,0,0,0,0,0,0,0,0,0,,,,1,0,,0,0,0,1,0,,0,,,0,0
오브젝트방향,,,우,우,하,하,하,하,좌,상,상,,,,좌,우,,상,우,상,좌,좌,,하,,,상,상
오브젝트_X좌표,,,4,4,4,7,5,6,3,5,2,,,,6,3,,7,5,8,4,2,,7,,,3,3
오브젝트_Y좌표,,,4,4,6,3,5,5,4,3,6,,,,3,4,,5,5,6,10,4,,5,,,6,2
오브젝트_층,,,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,,1,,,1,1
오브젝트종류,,,,0,0,,0,0,0,0,0,,,,,0,,0,0,0,0,1,,0,,,0,0
오브젝트방향,,,,우,하,,하,하,우,우,우,,,,,상,,하,좌,우,우,하,,상,,,하,상
오브젝트_X좌표,,,,5,5,,5,6,6,4,2,,,,,3,,7,6,7,1,2,,7,,,3,4
오브젝트_Y좌표,,,,4,6,,6,4,5,4,7,,,,,3,,6,5,4,9,6,,2,,,5,2
오브젝트_층,,,,1,1,,1,1,1,1,1,,,,,1,,1,1,1,1,1,,1,,,1,1
오브젝트종류,,,,0,0,,0,0,0,0,0,,,,,1,,1,0,1,0,0,,,,,0,0
오브젝트방향,,,,하,좌,,좌,우,하,하,우,,,,,하,,하,상,좌,좌,좌,,,,,상,상
오브젝트_X좌표,,,,6,5,,6,3,7,7,3,,,,,4,,7,7,7,4,3,,,,,5,5
오브젝트_Y좌표,,,,4,3,,6,3,5,4,3,,,,,6,,7,5,6,9,3,,,,,6,2
오브젝트_층,,,,1,1,,1,1,1,1,1,,,,,1,,1,1,1,1,1,,,,,1,1
오브젝트종류,,,,0,0,,,0,0,0,0,,,,,0,,,0,0,0,0,,,,,0,0
오브젝트방향,,,,우,상,,,상,상,좌,우,,,,,상,,,상,하,우,좌,,,,,하,상
오브젝트_X좌표,,,,5,5,,,4,7,7,3,,,,,4,,,2,7,3,4,,,,,5,6
오브젝트_Y좌표,,,,3,4,,,3,4,5,4,,,,,3,,,4,7,8,2,,,,,5,2
오브젝트_층,,,,1,1,,,1,1,1,1,,,,,1,,,1,1,1,1,,,,,1,1
오브젝트종류,,,,,0,,,0,,0,0,,,,,0,,,0,0,0,0,,,,,0,0
오브젝트방향,,,,,상,,,하,,하,상,,,,,상,,,하,하,하,좌,,,,,상,상
